year_of_arrival,flag,place_of_purchase,place_of_landing,percent_women,percent_children,percent_men,total_embarked,total_disembarked,resistance_label,vessel_name,captain's_name,voyage_id,sources
1520,,Portuguese Guinea,San Juan,,,,324,259,, ,,42987,"[u'AGI,Patronato 175, r.9<><p><em>AG!</em> (Seville)</p>']"
1525,Portugal / Brazil,Sao Tome,"Hispaniola, unspecified",,,,359,287,,S Maria de Bogoña,"Monteiro, Pero",46473,"[u'ANTT,CC,Parte II, maco 131, doc 54<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u""Braudel,I,173<>Braudel, Fernand, <i>La M\xe9diterran\xe9e et le monde m\xe9diterran\xe9en \xe1 l'\xe9poque de Philippe II</i>, 3 vols. (Paris, 1990).""]"
1526,Spain / Uruguay,Cape Verde Islands,"Cuba, port unspecified",,,,359,287,, ,"Carega, Esteban (?)",11297,"[u'Pike,60-1,172<>Pike, Ruth, <i>Enterprise</i><i> and Adventure. The Genoese in Seville and the Opening of the New World</i> (Ithaca, NY, 1966).']"
1526,Spain / Uruguay,Cape Verde Islands,"Cuba, port unspecified",,,,359,287,, ,"Carega, Esteban (?)",11298,"[u'Pike,60-1,172<>Pike, Ruth, <i>Enterprise</i><i> and Adventure. The Genoese in Seville and the Opening of the New World</i> (Ithaca, NY, 1966).']"
1526,,Cape Verde Islands,Caribbean (colony unspecified),,,,359,287,,S Anton,"Leon, Juan de",42631,"[u'Chaunus, 3: 162-63<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'AGI,Contratacion, 2898, f. 65v<><p><em>AG!</em> (Seville)</p>']"
1526,,Cape Verde Islands,San Domingo (a) Santo Domingo,,,,359,287,,Santa Maria de Guadalupe,"Pabon, Francisco",42679,"[u'Chaunus, 3: 162-63<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1526,Portugal / Brazil,Sao Tome,"Spanish Caribbean, unspecified",,,,359,287,, ,,46474,"[u'ANTT,CC,Parte II, maco 131, doc 54<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1527,Spain / Uruguay,Cape Verde Islands,"Puerto Rico, port unspecified",,,,325,260,,Concepción,"Díaz, Alonso",99027,"[u'SuedBadillo,57,75,76<><p>SuedBadillo, <em>xxxxx</em> (xxxxx, 1986)</p>']"
1532,Portugal / Brazil,Sao Tome,"Spanish Caribbean, unspecified",,,,359,287,,S Antônio,"Afonso, Martim",11293,"[u'Ryder,66<>Ryder, A. F. C., <i>Benin</i><i> and the Europeans, 1485-1897</i> (London, 1969).', u'ANTT,CC,Parte II, maco 180, doc 21<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u'ANTT,CC,Parte II, maco 205, doc 13<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u'ANTT,CC,Parte II, maco 180, doc 19<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1532,,Cape Verde Islands,San Juan,,,,25,20,, ,"de Illanes, Manuel",28994,"[u'Tanodi, 321-22<>Tanodi, Aurelio, <i>Documentos de la real hacienda de Puerto Rico</i>, 2 vols. (San Juan, Puerto Rico, 2009), vol. 2, <i>1510-1545</>  ']"
