name,party
George Washington,parteilos
John Adams,Föderalist
Thomas Jefferson,Republikaner
James Madison,Republikaner
James Monroe,Republikaner
John Quincy Adams,Föderalist
Andrew Jackson,Demokrat
Martin Van Buren,Demokrat
William Henry Harrison,Whig
John Tyler,Whig
James K. Polk,Demokrat
Zachary Taylor,Whig
Millard Fillmore,Whig
Franklin Pierce,Demokrat
James Buchanan,Demokrat
Abraham Lincoln,Republikaner
Andrew Johnson,Demokrat
Ulysses S. Grant,Republikaner
Rutherford B. Hayes,Republikaner
James A. Garfield,Republikaner
Chester A. Arthur,Republikaner
Grover Cleveland,Demokrat
Benjamin Harrison,Republikaner
William McKinley,Republikaner
Theodore Roosevelt,Republikaner
William Howard Taft,Republikaner
Woodrow Wilson,Demokrat
Warren G. Harding,Republikaner
Calvin Coolidge,Republikaner
Herbert Hoover,Republikaner
Franklin D. Roosevelt,Demokrat
Harry S. Truman,Demokrat
Dwight D. Eisenhower,Republikaner
John F. Kennedy,Demokrat
Lyndon B. Johnson,Demokrat
Richard Nixon,Republikaner
Gerald Ford,Republikaner
Jimmy Carter,Demokrat
Ronald Reagan,Republikaner
George H. W. Bush,Republikaner
Bill Clinton,Demokrat
George W. Bush,Republikaner
Barack Obama,Demokrat
Donald Trump,Republikaner
Joseph (Joe) Robinette Biden Jr.,Demokrat
